title;authors;description;tags;language;year;isbn;cover_url
The Three-Body Problem;Liu Cixin;Твърда sci-fi за контакт между цивилизации.;sci-fi,philosophy;en;2008;9780765382030;
Educated;Tara Westover;Мемоари за образование и семейство.;мемоари,нехудожествена;en;2018;9780399590504;
The Silent Patient;Alex Michaelides;Терапевт и художник в трилър.;трилър,психологически,мистерия;en;2019;9781250301697;
A Court of Thorns and Roses;Sarah J. Maas;Феерични дворове и романтично фентъзи.;фентъзи,романс,young adult;en;2015;9781619634449;
The Girl with the Dragon Tattoo;Stieg Larsson;Разследване в шведски криминален свят.;трилър,криминале,мистерия;en;2005;9780307454546;
Becoming;Michelle Obama;Мемоари на първата дама.;мемоари,нехудожествена;en;2018;9781524763138;
The Road;Cormac McCarthy;Постапокалипсис баща и син.;литература,драма;en;2006;9780307387899;
Circe;Madeline Miller;Преосмислен мит за Кирке.;фентъзи,мифология;en;2018;9780316429600;
Тютюн;Димитър Димов;Социално-психологичен роман.;класика,драма,българска литература;bg;1951;9789540906165;
Sapiens BG;Yuval Noah Harari;Българско издание на Sapiens.;нехудожествена,история;bg;2011;9789542828558;
Norwegian Wood;Haruki Murakami;Тъжен роман за любов и загуба в Токио.;литература,романс,драма;en;1987;9780375704023;
Beloved;Toni Morrison;Призраци на робството и майчинство.;литература,история,магия;en;1987;9781400033416;
The Nightingale;Kristin Hannah;Две сестри в окупирана Франция.;исторически,драма,романс;en;2015;9780312577223;
Good Omens;Neil Gaiman, Terry Pratchett;Ангел и демон преди Края на света.;фентъзи,хумор;en;1990;9780441003258;
The Seven Husbands of Evelyn Hugo;Taylor Jenkins Reid;Холивудска легенда разказва живота си.;романс,драма;en;2017;9781501161938;
Braiding Sweetgrass;Robin Wall Kimmerer;Научна и индигенна мъдрост за природата.;нехудожествена,наука,екология;en;2013;9781571313560;
All the Light We Cannot See;Anthony Doerr;Сляпа французойка и немско момче във войната.;исторически,литература;en;2014;9781501173219;
The Priory of the Orange Tree;Samantha Shannon;Дракони кралства и древно зло.;фентъзи,epic;en;2019;9781635574534;
The Thursday Murder Club;Richard Osman;Пенсионери любители-детективи в уютен трилър.;трилър,хумор,мистерия;en;2020;9780241425442;
Station Eleven;Emily St. John Mandel;Цивилизация след пандемия театър и път.;sci-fi,литература;en;2014;9780385353304;
The Fellowship of the Ring;J. R. R. Tolkien;Първи том от епоса за Пръстена и Мордор.;фентъзи,epic,adventure;en;1954;9780547928210;
Harry Potter and the Chamber of Secrets;J. K. Rowling;Втора година в Хогуортс и Тайната стая.;фентъзи,young adult;en;1998;9780439064873;
The Martian;Andy Weir;Инженер оцелява на Марс с наука и хумор.;sci-fi,приключение;en;2011;9780553418026;
Ready Player One;Ernest Cline;VR лов на Изумрудения град и 80-те.;sci-fi,приключение,young adult;en;2011;9780307887443;
The Hunger Games;Suzanne Collins;Игри на глад и революция в Дистопия.;sci-fi,young adult,дистопия;en;2008;9780439023481;
Ender's Game;Orson Scott Card;Дете командва отбраната на Земята.;sci-fi,young adult;en;1985;9780812550706;
Foundation;Isaac Asimov;Падането на Галактическата империя и психоистория.;sci-fi,класика;en;1951;9780553293357;
Neuromancer;William Gibson;Киберпънк прототип хакери и ИИ.;sci-fi,киберпънк;en;1984;9780441569595;
Snow Crash;Neal Stephenson;Мета вселена мути виртуална реалност.;sci-fi,киберпънк;en;1992;9780553380958;
The Left Hand of Darkness;Ursula K. Le Guin;Посланик на ледена планета без двуполов модел.;sci-fi,литература;en;1969;9780441478125;
Kindred;Octavia E. Butler;Времеви пътувания към робството в Америка.;sci-fi,история;en;1979;9780807083697;
The Midnight Library;Matt Haig;Библиотека от алтернативни животи.;литература,философия;en;2020;9780525559498;
Where the Crawdads Sing;Delia Owens;Момиче в блатата и убийство в малък град.;мистерия,романс;en;2018;9780735219090;
The Goldfinch;Donna Tartt;Картина крадец и живот след трагедия.;литература;en;2013;9780316055444;
Normal People;Sally Rooney;Ирландска любовна история от училище до университет.;романс,литература;en;2018;9781984822178;
Conversations with Friends;Sally Rooney;Две студентки арт сцена Дъблин.;романс,литература;en;2017;9780451499077;
The Song of Achilles;Madeline Miller;Любов Троянска война от гледна точка на Патрокъл.;фентъзи,мифология,романс;en;2011;9780062060624;
Red Rising;Pierce Brown;Марсианска кастова революция.;sci-fi,приключение,young adult;en;2014;9780345539786;
The Fifth Season;N. K. Jemisin;Разбиваща се луната и онеправдани илионери.;фентъзи,sci-fi;en;2015;9780316229296;
The Poppy War;R. F. Kuang;Война наркотици шамани в алтернативен Китай.;фентъзи,военна;en;2018;9780062662590;
The Final Empire;Brandon Sanderson;Мъглороден свят и металическа магия.;фентъзи,epic;en;2006;9780765311788;
Mistborn: The Well of Ascension;Brandon Sanderson;Втори том Мистбърн политика и измама.;фентъзи,epic;en;2007;9780765316882;
The Lies of Locke Lamora;Scott Lynch;Банда измамници в бароков град.;фентъзи,приключение;en;2006;9780553588941;
The Blade Itself;Joe Abercrombie;Гримдарк фентъзи Първи том от Първият закон.;фентъзи;en;2006;9780575079799;
Jane Eyre;Charlotte Brontë;Гувернантка поместие и независимост.;романс,класика;en;1847;9780141441146;
Crime and Punishment;Fyodor Dostoevsky;Студент престъпление разкаяние Петербург.;класика,философия;en;1866;9780143058145;
One Hundred Years of Solitude;Gabriel García Márquez;Родът Буендиа и град Макондо.;магически реализъм,класика;en;1967;9780060883287;
The Handmaid's Tale;Margaret Atwood;Теократична дистопия и съпротива.;sci-fi,дистопия,класика;en;1985;9780385490818;
Fahrenheit 451;Ray Bradbury;Пожарникари горят книги в екранна епоха.;sci-fi,дистопия;en;1953;9781451673319;
To Kill a Mockingbird;Harper Lee;Детство расизъм и правосъдие в Юга.;класика,литература;en;1960;9780061120084;
The Great Gatsby;F. Scott Fitzgerald;Джазово лято любов и илюзии.;класика,литература;en;1925;9780743273565;
The Shadow of the Wind;Carlos Ruiz Zafón;Барселона забравени книги и мистерия.;мистерия,литература;en;2001;9780143124934;
The Beekeeper of Aleppo;Christy Lefteri;Бежански път от Сирия към Англия.;драма,литература;en;2019;9781785764768;
It Ends with Us;Colleen Hoover;Токсична любов и избор да скъсаш цикъла.;романс,драма;en;2016;9781501110368;
Lessons in Chemistry;Bonnie Garmus;Химичка води готварско шоу в 60-те.;романс,хумор;en;2022;9780385547208;
Little Women;Louisa May Alcott;Четири сестри по време на Гражданската война.;класика,романс;en;1868;9780147514011;
The Book Thief;Markus Zusak;Момиче краде книги в нацистка Германия.;исторически,young adult;en;2005;9780375842207;
Life of Pi;Yann Martel;Момче океан и тигър след корабокрушение.;приключение,литература;en;2001;9780156027328;
The Kite Runner;Khaled Hosseini;Приятелство и предателство в Афганистан.;драма,литература;en;2003;9781594631934;
Memoirs of a Geisha;Arthur Golden;Гейша в Киото през XX век.;исторически,романс;en;1997;9780679781585;
Shōgun;James Clavell;Чужденец и самураи в феодална Япония.;исторически,epic;en;1975;9780440178008;
The Remains of the Day;Kazuo Ishiguro;Иконом и спомени от английско имение.;литература;en;1989;9780571200737;
Never Let Me Go;Kazuo Ishiguro;Деца в странно училище и тъмна истина.;sci-fi,литература;en;2005;9781400078776;
Big Little Lies;Liane Moriarty;Училищни родители скрити тайни пристанище.;трилър,драма;en;2014;9780399587207;
The Woman in the Window;A. J. Finn;Агорафоб наблюдава съседите.;трилър,психологически;en;2018;9780062678416;
Sharp Objects;Gillian Flynn;Журналистка в роден град и семейни рани.;трилър,мистерия;en;2006;9780307341556;
The Last Wish;Andrzej Sapkowski;Разкази за Гералт от Ривия.;фентъзи;en;2007;9780316029186;
Blood Meridian;Cormac McCarthy;Насилие и мит на американския Запад.;литература;en;1985;9780679728757;
The Vegetarian;Han Kang;Жена спира месото семейство общество.;литература;en;2007;9780553448184;
Why We Sleep;Matthew Walker;Наука за съня паметта и здравето.;нехудожествена,наука;en;2017;9781501144318;
Чичовци;Иван Вазов;Малък град епоха и неповторими образи.;българска литература,класика;bg;1880;9789540730659;
Harry Potter and the Prisoner of Azkaban;J. K. Rowling;Трета година затворникът от Азкабан и патронуси.;фентъзи,young adult;en;1999;9780439136368;
Harry Potter and the Goblet of Fire;J. K. Rowling;Четвърта година Тримагическият турнир.;фентъзи,young adult;en;2000;9780439139598;
The Lightning Thief;Rick Riordan;Пърси Джаксън и гръцките богове в модерен свят.;фентъзи,young adult;en;2005;9780786838653;
Twilight;Stephenie Meyer;Романс вампири малък град.;романс,fantasy,young adult;en;2005;9780316015844;
The Hunger Games: Catching Fire;Suzanne Collins;Втора книга игри на глад и разбунтуване.;sci-fi,young adult;en;2009;9780439023498;
Mockingjay;Suzanne Collins;Финалът на трилогията за Катнис.;sci-fi,young adult;en;2010;9780439023511;
Divergent;Veronica Roth;Дистопично Чикаго фракции и избор.;sci-fi,young adult;en;2011;9780062078489;
The Maze Runner;James Dashner;Лабиринт изгубени тийнейджъри.;sci-fi,young adult;en;2009;9780385737944;
The Outsiders;S. E. Hinton;Банди приятелство и насилие.;young adult,драма;en;1967;9780140385724;
The Perks of Being a Wallflower;Stephen Chbosky;Писма тийнейджърска самота и музика.;young adult,драма;en;1999;9780671027346;
Eleanor & Park;Rainbow Rowell;Първа любов осемдесетте.;романс,young adult;en;2013;9781250012579;
Me Before You;Jojo Moyes;Грижителка и парализиран мъж история за избор.;романс,драма;en;2012;9780143124542;
The Time Traveler's Wife;Audrey Niffenegger;Любов през скокове във времето.;романс,sci-fi;en;2003;9780156029438;
Outlander;Diana Gabaldon;Шотландия времеви пътник и романс.;романс,исторически;en;1991;9780440212560;
The Notebook;Nicholas Sparks;Епистоларна любов от малък град.;романс;en;1996;9780446520802;
The Alchemist;Paulo Coelho;Овчар търси съкровище и смисъл.;философия,приключение;en;1988;9780062315007;
Verity;Colleen Hoover;Писателка и тъмни тайни трилър.;трилър,романс;en;2018;9781538728368;
The Guest List;Lucy Foley;Сватба остров убийство closed circle.;трилър,мистерия;en;2020;9780062986287;
The Paris Apartment;Lucy Foley;Париж изчезнал братайн.;трилър,мистерия;en;2022;9780063006418;
The Maid;Nita Prose;Хотел камериерка и престъпление.;мистерия,криминале;en;2022;9780593356164;
The Woman in Cabin 10;Ruth Ware;Луксозен круиз и изчезване.;трилър;en;2016;9781473616839;
The Da Vinci Code;Dan Brown;Символи тайни общества преследване.;трилър,мистерия;en;2003;9780307474278;
Angels & Demons;Dan Brown;Физик убит ЦERN и Ватикана.;трилър,мистерия;en;2000;9780743493468;
The Firm;John Grisham;Млад юрист мафия на адвокатска фирма.;трилър,криминале;en;1991;9780385339656;
Gone with the Wind;Margaret Mitchell;Гражданска война любов и Оара.;исторически,романс;en;1936;9780446675536;
Rebecca;Daphne du Maurier;Новоомъжена и сянката на Ребека.;готика,мистерия;en;1938;9780380730409;
East of Eden;John Steinbeck;Семейство Кейм избор добро и зло.;класика,драма;en;1952;9780142000656;
The Grapes of Wrath;John Steinbeck;Депресия мигранти към Калифорния.;класика,социална;en;1939;9780143039433;
Of Mice and Men;John Steinbeck;Две скитници мечтаят за ферма.;класика,драма;en;1937;9780140177398;
Dracula;Bram Stoker;Граф вампир Южна Англия.;хорър,класика;en;1897;9780486411095;
Frankenstein;Mary Shelley;Създател и създание готика.;sci-fi,хорър;en;1818;9780486282114;
The Picture of Dorian Gray;Oscar Wilde;Портрет и разменена младост.;класика,философия;en;1890;9780141439570;
Les Misérables;Victor Hugo;Жан Валжан справедливост и Франция.;класика,epic;en;1862;9780451525260;
The Three Musketeers;Alexandre Dumas;Шпага интриги и верност.;приключение,класика;en;1844;9780140437546;
Moby-Dick;Herman Melville;Кит и одиссея на лов.;класика,приключение;en;1851;9780142437247;
Love in the Time of Cholera;Gabriel García Márquez;Любов през десетилетия Колумбия.;магически реализъм,романс;en;1985;9780307386476;
Blindness;José Saramago;Епидемия на слепота в града.;литература,dystopia;en;1995;9780156007757;
Drive Your Plow Over the Bones of the Dead;Olga Tokarczuk;Екологичен ноар полски град.;мистерия,литература;en;2009;9780525541331;
The Circle;Dave Eggers;Тех корпорация прозрачност и контрол.;sci-fi,дистопия;en;2013;9780385351399;
The Poisonwood Bible;Barbara Kingsolver;Мисионерско семейство в Конго.;литература,история;en;1998;9780060786502;
The Emperor of All Maladies;Siddhartha Mukherjee;История на рака науката и лечението.;нехудожествена,наука;en;2010;9781439170915;
The Body Keeps the Score;Bessel van der Kolk;Травма мозък и заздравяване.;нехудожествена,психология;en;2014;9780143127748;
Quiet;Susan Cain;Сила на интровертите.;нехудожествена,психология;en;2012;9780307352156;
Deep Work;Cal Newport;Фокус в разсеян свят.;нехудожествена,продуктивност;en;2016;9781455586692;
Shoe Dog;Phil Knight;Мемоари Nike основаване.;мемоари,бизнес;en;2016;9781501135910;
Bad Blood;John Carreyrou;Измамата Theranos.;нехудожествена,разследване;en;2018;9780525431992;
Born a Crime;Trevor Noah;Детство апартейд ЮАР хумор.;мемоари;en;2016;9780399588174;
Hyperion;Dan Simmons;Пилигрими и Шрайк sci-fi канон.;sci-fi,epic;en;1989;9780553283686;
Leviathan Wakes;James S.A. Corey;Експанзията започва космически детектив.;sci-fi;en;2011;9780316129084;
Children of Time;Adrian Tchaikovsky;Паяци цивилизация и оцеляване.;sci-fi;en;2015;9781447273301;
Annihilation;Jeff VanderMeer;Експедиция в Зона Х.;sci-fi,хорър;en;2014;9780374104092;
Recursion;Blake Crouch;Памет времеви линии и колапс.;sci-fi,трилър;en;2019;9781524746980;
The Diamond Age;Neal Stephenson;Нано технологии ивица викторианско бъдеще.;sci-fi;en;1995;9780553380966;
Cryptonomicon;Neal Stephenson;Втора световна война и криптография.;sci-fi,история;en;1999;9780060512804;
The Dispossessed;Ursula K. Le Guin;Анарист Урас анархия и наука.;sci-fi,политика;en;1974;9780061054884;
Rendezvous with Rama;Arthur C. Clarke;Цилиндър извън Слънчевата система.;sci-fi,класика;en;1973;9780553287899;
Childhood's End;Arthur C. Clarke;Спокойно завладяване от надчовеци.;sci-fi,класика;en;1953;9780345347956;
American Gods;Neil Gaiman;Богове и шофиране през Америка.;фентъзи;en;2001;9780380789030;
Neverwhere;Neil Gaiman;Подземен Лондон и ангели.;фентъзи;en;1997;9780060557619;
Stardust;Neil Gaiman;Феерично царство извъд стената.;фентъзи,романс;en;1999;9780380809739;
Cloud Atlas;David Mitchell;Шест сюжета през епохи.;sci-fi,литература;en;2004;9780375507257;
The Bone Clocks;David Mitchell;Невидима война и смъртност.;фентъзи,литература;en;2014;9780812976828;
Гераците;Елин Пелин;Залез на родовото стопанство.;българска литература,класика;bg;1911;9789546577177;
Железният светилник;Димитър Талев;Междувоенна провинция и човешки съдби.;българска литература,класика;bg;1952;9789540905886;
